Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Freitas, Luciane Albernaz de Araujo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Sobre a identidade profissional dos docentes da educação profissional técnica de nível médio - forma integrada : perspectivas a partir dos pressupostos da educação ambiental transformadora,2014,Universidade Federal do Rio Grande (FURG),FURG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação profissional||Identidade docente||Materialismo histórico e dialético||Vocational education||Teacher identity||Dialectical historical materialism,Não informado pela instituição,por,"A presente tese investiga a necessidade de ressignificação da identidade profissional dos docentes da Educação Profissional Técnica de Nível Médio - Forma Integrada no IFSul – Campus Pelotas, possibilitada pelo Decreto Nº 5154/04, bem como as possibilidades e potencialidades da construção de um organismo coletivo na perspectiva gramsciana que possibilite tal ressignificação, no sentido de que os professores venham a constituir-se como intelectuais orgânicos vinculados a classe que vive do trabalho. A relevância dessa pesquisa está atrelada ao fato de a integração de que trata o referido decreto ser considerada uma base para a travessia em direção ao ensino médio politécnico e a superação da dualidade estrutura, que se faz presente no sistema educacional brasileiro desde a época do Brasil Colônia e que tem por função trabalhar em prol da manutenção da estratificação social à medida que oferece educações distintas: uma para a elite com o intuito de formar dirigentes e outra para a classe trabalhadora com o propósito de formar dirigidos, de forma mais contundente no nível médio de ensino. Educação profissional constitui-se como arena de disputa ideológica que historicamente encontra-se a serviço da classe hegemônica, mas que pode assumir-se como contra-hegemônica corroborando para a superação do modelo civilizatório o qual está imbricado com os pressupostos da concepção de Educação Ambiental Transformadora, visto que essa desempenha papel complexo, não se limitando ao compromisso apenas com as mudanças ambientais, mas também com as questões sociais, na busca permanente de um novo modelo civilizatório. Neste sentido o papel do professor torna-se tanto mais importante, quanto mais ele possa contribuir para elevar o nível cultural da população, chegar a uma representação coerente da realidade, atingir maior grau de politização, para que realize a sua passagem, como classe, do senso comum a uma concepção de vida superior. Dentro desta perspectiva definiu-se como tese que a integração do ensino técnico ao médio, está, entre outros fatores, condicionada à permanente ressignificação da identidade profissional dos docentes, processo indispensável para que eles se constituam como intelectuais orgânicos vinculados à classe que vive do trabalho, tendo sua concretude possibilitada por meio de um “organismo coletivo”. Para tanto se acredita na constituição de um organismo coletivo no chão da escola sustentado por princípios éticos, determinados no interior da coletividade e assumidos por cada um de seus componentes singulares, viabilizando a constituição da vontade coletiva nacional-popular do qual os professores possam sentir-se parte precisa ser compreendida como elaboração de uma vontade e pensamento coletivos, obtidos através do esforço individual concreto, oportunizando a emergência da unidade necessária para alcançar o objetivo. A estratégia investigativa aconteceu em dois momentos. O primeiro momento com a realização de entrevistas semiestruturadas com um membro da diretoria de ensino, os supervisores pedagógicos, os coordenadores dos cursos técnicos integrados do IFSul – Campus Pelotas e os coordenadores das três subáreas que compõem a área da formação geral. O segundo momento teve como foco de análise os professores dos cursos de CVI e DIN, ambos pertencentes à Coordenadoria da Área de Design, os quais participaram de um grupo focal. Após a caminhada realizada nesta pesquisa torna-se possível afirmar que a construção do organismo coletivo no chão da escola é possível e contempla uma potencialidade significativa para a necessária ressignificação da identidade docente dos professores.","FREITAS, Luciane Albernaz de Araújo. Sobre a identidade profissional dos docentes da educação profissional técnica de nível médio - forma integrada : perspectivas a partir dos pressupostos da educação ambiental transformadora. 2014. 206 f. Tese ( Doutorado em Educação Ambiental) - Instituto de Educação, Universidade Federal do Rio Grande, Rio Grande, 2014.||http://repositorio.furg.br/handle/1/6023",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pimentel, Celeste Aparecida",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A Lei n°10.639/03 e as questões étnico-raciais no currículo do centro territorial de educação profissional do sertão produtivo – Caetité/BA: um estudo no curso técnico em secretariado – PROEJA,2016,Universidade do Estado da Bahia (UNEB),UNEB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Étnico-raciais||Estudo de caso||Empoderamento||Educação||Currículo||Identidade,Não informado pela instituição,por,"Esta dissertação apresentada ao Mestrado Profissional em Educação de Jovens e Adultos (MPEJA) da Universidade Estadual do Estado da Bahia – UNEB insere-se no campo do currículo e das questões étnico-raciais. Objetiva compreender a institucionalidade da Lei nº 10.639/03 no currículo do CETEP, analisando de que modo professores/as e estudantes percebem o desenvolvimento da temática das relações étnico-raciais afro-brasileira, a construção da identidade do negro e o racismo no espaço escolar. Partindo-se desta problemática, procurou-se aprofundar elementos teóricos voltados aos estudos das relações étnico-raciais; analisando e sistematizando documentos da legislação brasileira e organizativos do CETEP relativo às relações étnico-raciais e PROEJA; e investigar as dimensões presentes ou não no contexto de documentos organizativos do CETEP e nos discursos de professores/as e estudantes identificando os conteúdos e as abordagens acerca das questões étnico-raciais do povo afro-brasileiro no contexto do curso técnico em Secretariado do PROEJA- CETEP – Sertão Produtivo. Dessa forma, a pesquisa centra-se em analisar como vem se constituindo no currículo praticado do CETEP – Sertão Produtivo, curso Técnico em Secretariado - PROEJA o ensino da história e cultura afro-brasileira e africana em cumprimento a Lei nº 10.639/03? Como são trabalhadas, pedagogicamente, as questões de identidade do povo negro e de racismo nessa escola? Como os estudantes e professores/as percebem o cumprimento dessa Lei, na construção da identidade do negro e do racismo na escola? A pesquisa traz como suporte teórico Munanga (1994), Hélio Santos (2001), (Freire 1982, 1993, 1999) Valente (1995), Tonet (2005), Laffin (2012) Sacristán (2000) e Garcia (2007). Quanto à metodologia é do tipo estudo de caso, baseado Ludke e André (2012), Oliveira (2002), Bogdan e Biklen (1994), Franco (2005) Yin (2001) e Trivinõs (1987), dentre outros. Contou com a participação de 14 estudantes devidamente matriculados no curso técnico em secretariado modulo III e 08 professores/as que atuam na referida turma, sendo que houve a participação de 43 professores/as durante a Jornada Pedagógica em que intervimos nesses momentos com a temática étnico-racial, mesmo a pesquisa focalizando apenas os 08 professores/as do curso técnico em secretariado, optamos em aplicar um questionário com os 43 docentes, com o objetivo de entender suas percepções da Lei nº 10.639/03 de maneira que nos dessem subsídios para melhor compreender a nossa amostra. Aplicamos como técnica a analise de conteúdo do currículo da escola, a observação das aulas dos docentes, o questionário com os professores, o grupo focal com os estudantes e uma intervenção formativa com os docentes e estudantes previamente planejada. Os dados coletados foram analisados por meio da Análise dos Conteúdos Bardin (2004). Os resultados gerais foram: que a Lei nº 10.639/03 não é observada no currículo escrito do CETEP, pois não encontramos a concretização dos Art. 26 alínea A e Art. 79 alínea A e B da citada Lei, como consequência o ensino da história e cultura afro-brasileira e africana fica aquém do necessário. Em relação ao currículo praticado, a observação da práxis pedagógica nos permite afirmar que existe uma priorização dos conteúdos do núcleo comum e específicos e uma invisibilidade aos conteúdos referentes às questões étnico-raciais. Concluímos que existe uma complexidade para adequar a Lei nº 10.639/03 ao currículo praticado no CETEP – do Sertão Produtivo.","PIMENTEL, Celeste Aparecida. A lei n°10.639/03 e as questões étnico-raciais no currículo do centro territorial de educação profissional do sertão produtivo – Caetité/BA: um estudo no curso técnico em secretariado – PROEJA. Orientador: Antônio Pereira. 2016. 162f. Dissertação (Mestrado Profissional), Programa de Pós-graduação em Educação de Jovens e Adultos - Departamento de Educação Campus I, Universidade do Estado da Bahia, Salvador, 2016.||https://saberaberto.uneb.br/handle/20.500.11896/539",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Brazorotto, Cíntia Magno, 1981-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Origem e destino : o ensino médio profissionalizante no Brasil e na Alemanha,2020,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação profissional||Educação e trabalho||Ensino médio profissionalizante||Educação profissional - Alemanha||Vocational education||Education and work||Vocational high school||German vocational education,Não informado pela instituição,por,Orientador: Selma Borghi Venco,"https://hdl.handle.net/20.500.12733/1638752||BRAZOROTTO, Cíntia Magno. Origem e destino: o ensino médio profissionalizante no Brasil e na Alemanha. 2020. 1 recurso online (253 p.) Tese (doutorado) - Universidade Estadual de Campinas, Faculdade de Educação, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1638752. Acesso em: 28 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Martendal, Luciana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Programa de atendimento a estudantes em situação de vulnerabilidade social: aproximações avaliativas sobre sua implementação e gestão,2012,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Serviço social||Educação tecnológica||Educação inclusiva||Programas de ação afirmativa||Santa Catarina||Politicas publicas||Santa Catarina||Avaliação,Não informado pela instituição,por,"Dissertação (mestrado) - Universidade Federal de Santa Catarina, Centro Sócio-Econômico. Programa de Pós-Graduação em Serviço Social",310347||http://repositorio.ufsc.br/xmlui/handle/123456789/100568,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Stroisch, Adriane, 1964-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A permanência e o êxito dos alunos cotistas dos cursos superiores do campo São José do Instituto Federal de Santa Catarina (2009-2010),2012,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação||Políticas públicas||Programas de ação afirmativa||Inclusão||Education||Public policies||Action Programs Affirmative||Inclusion||Permanence,Não informado pela instituição,por,Orientador: Zacarias Pereira Borges,"https://hdl.handle.net/20.500.12733/1618480||STROISCH, Adriane. A permanência e o êxito dos alunos cotistas dos cursos superiores do campo São José do Instituto Federal de Santa Catarina (2009-2010). 2012. 227 p. Dissertação (mestrado) - Universidade Estadual de Campinas, Faculdade de Educação, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1618480. Acesso em: 28 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Rodrigues, Alexandre Lopes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Perfis sociais, percursos escolares, condições de permanência e perspectivas de futuro : o caso de cotistas de cursos técnicos integrados do IF Sudeste MG - Campus Muriaé",2021,Universidade Federal de Viçosa (UFV),UFV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Programas de ação afirmativa na educação - Minas Gerais||Estudantes - Programas de assistência||Ensino técnico||Educação,Não informado pela instituição,por,"As políticas públicas denominadas Ações Afirmativas assumiram posição de destaque no Brasil ao longo dos últimos anos, sobretudo no âmbito da educação, com a implantação do sistema de cotas para ingresso nas universidades federais e nas instituições federais de ensino de nível médio técnico. A implantação de um sistema de cotas para ingresso nas instituições federais de ensino, acompanhado de mecanismos que contribuam para a permanência do aluno cotista, traz a perspectiva de tentar contribuir na consolidação do princípio da igualdade de oportunidades para todos. Essa pesquisa teve como objetivo principal identificar e analisar junto aos alunos cotistas de três dos quatro cursos técnicos integrados ofertados pelo Campus Muriaé do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais quais as expectativas, assim como, as possíveis dificuldades e desafios enfrentados por estes alunos durante o curso, e as estratégias utilizadas para a superação dessas dificuldades. Para fins de coleta e análise dos dados, utilizou-se uma abordagem qualitativa. Os dados foram coletados a partir de documentos institucionais que traçam o perfil sócio econômico dos alunos e da realização de entrevista semiestruturada com uma amostra representativa do universo de alunos cotistas dos cursos em questão. Assim, neste trabalho, foram realizadas entrevistas com cinco estudantes. A análise dos dados coletados foi realizada tendo em vista a técnica análise de conteúdos (Bardin, 2011). Com base nessas análises, concluiu-se que a entrada num curso de formação técnica integrada traz grandes desafios para os estudantes, tanto em relação à necessidade de adaptação a um novo contexto educacional, quanto em relação ao apoio necessário para a sua permanência no curso. Constata-se que o IF Sudeste MG procura disponibilizar um conjunto de medidas que visam contribuir para a permanência dos estudantes. Essas contribuições ocorrem tanto pelo viés do apoio financeiro, por intermédio do Programa Nacional de Assistência Estudantil, quanto em termos de infraestrutura e apoio emocional. Além disso, percebe-se a preocupação com uma formação mais ampla e humanizada dos alunos, por parte da Rede Federal de Educação Profissional e Tecnológica, não se restringindo a uma qualificação estritamente voltada para a atividade laboral. Em termos de expectativas, nota-se uma maior preocupação por parte dos estudantes no sentido de se buscar uma graduação em nível superior ou a aprovação em um concurso público. Palavras-chave: Ações afirmativas. Cotas. Assistência ao estudante. Ensino técnico integrado.","RODRIGUES, Alexandre Lopes. Perfis sociais, percursos escolares, condições de permanência e perspectivas de futuro : o caso de cotistas de cursos técnicos integrados do IF Sudeste MG - Campus Muriaé . 2021. 136 f. Dissertação (Mestrado em Educação) - Universidade Federal de Viçosa, Viçosa. 2021.||https://locus.ufv.br//handle/123456789/27993",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Teixeira, Ana Carolina de Oliveira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Um estudo de caso da implementação das cotas sociais e raciais no ensino superior do CEFET-MG (2013-2015): acesso, permanência e trajetória de estudantes negros cotistas",2017,Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG),CEFET,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Ensino superior - Minas Gerais (MG)||Programas de ação afirmativa na educação||Estudantes negros||Estudantes universitários - Aspectos sociais,Não informado pela instituição,por,"Este estudo objetivou analisar a implantação e, sobretudo, a implementação de uma política de ações afirmativas por meio de cotas sociais e raciais no Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG). Esta pesquisa qualitativa centrou-se na implementação da Lei nº 12.711/2012 no CEFET-MG no período compreendido entre os anos de 2013 e 2015, com uma maior ênfase no primeiro semestre de 2015, momento em que a instituição implementou pela primeira vez a reserva de vagas prevista na legislação. Ainda que esta política de cotas tenha sido aplicada em processos seletivos da educação profissional técnica de nível médio e superior, ocupou-se nesta pesquisa somente dos processos seletivos de candidatos ao ensino superior. Um elemento fundamental para realização do estudo foi a análise do perfil de estudantes que ingressaram no CEFET-MG a partir do ano 2015. Isto possibilitou uma compreensão mais refinada acerca das trajetórias escolares desses discentes, permitindo, assim, conhecer por meio das entrevistas as expectativas de realização profissional de estudantes pretos e pardos, de acordo com o IBGE, mas que para os estudiosos das temáticas étnico-raciais são considerados negros ou afro-brasileiros. Acessou-se, também, documentos oficiais disponibilizados pela instituição como Editais, informações estatísticas sobre os candidatos classificados nos processos seletivos anteriores e posteriores a implementação da Lei de Cotas e atas das reuniões do Conselho de Ensino Pesquisa e Extensão (CEPE), órgão da instituição responsável por deliberar sobre a implementação da Lei de Cotas. Para conhecer o perfil dos estudantes que ingressaram após a implantação da política de cotas, foram aplicados questionários aos graduandos que ingressaram na instituição no primeiro semestre de 2015, quando pela primeira vez o CEFET-MG passa a reservar 50% de suas vagas para estudantes egressos de escolas públicas, observando-se ainda os critérios de renda e a pertença racial. Também foram realizadas entrevistas com os estudantes negros que ingressaram na instituição no período estudado, por meio das cotas sociais e raciais, com o objetivo de conhecer a trajetória escolar de estudantes negros nos cursos de graduação da instituição, avaliar suas estratégias para acessar a esse nível de ensino na instituição, descortinar as dificuldades por eles enfrentadas para permanecer na instituição e conhecer quais são suas expectativas de realização profissional. Os resultados encontrados a partir dos questionários e das entrevistas foram analisados em consonância com as pesquisas já desenvolvidas sobre o tema ação afirmativa, assim como trajetórias escolares de estudantes negros no ensino superior. Os resultados encontrados indicam que a política de ação afirmativa na instituição tornou o acesso ao ensino superior mais democrático, uma vez que possibilitou um aumento de 24,92% de estudantes egressos de escolas públicas e de 12% de estudantes negros. Ademais, foi possível verificar que dentre os estudantes pesquisados, a maioria possui pais com escolarização até o ensino médio completo e com renda familiar de até cinco salários mínimos, possibilitando o acesso à instituição a estudantes que outrora teriam maiores dificuldades de acessar esse nível de ensino. Por outro lado, verificou-se a partir dos depoimentos dos estudantes cotistas que aqueles que concluíram todo o ensino fundamental e/ou médio em escolas públicas consideradas pelos mesmos como sendo de baixa qualidade, revelaram uma maior dificuldade em permanecer na instituição considerando o suposto rigor do ensino e dos professores, principalmente em razão da dificuldade excessiva com algumas disciplinas, em relação aos estudantes cotistas que cursaram o ensino fundamental em escolas privadas e o ensino médio em escolas públicas reconhecidas pela sua excelência no ensino como, por exemplo, o CEFET-MG. Pretende-se em um segundo momento, no bojo desta pesquisa que continuará, voltar a dialogar com estes futuros bacharéis, para acompanhar os processos de conclusão dos seus cursos e saber de suas perspectivas na carreira profissional escolhida.",https://repositorio.cefetmg.br/handle/123456789/410,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Barbosa, Douglas de Miranda",http://lattes.cnpq.br/2286126484528587,"Benevenuto, Monica Aparecida Del Rio||Não informado pela instituição",http://lattes.cnpq.br/8157644491604380||Não informado pela instituição,"Benevenuto, Monica Aparecida Del Rio||Freitas, Patricia Oliveira de||Reis, Lilian Perdigão Caixeta||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Vivência e convivência em Moradias Estudantis: uma análise do cotidiano escolar sobre a formação técnica no IFMG – Campus São João Evangelista.,2019,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Agronomia,Programa de Pós-Graduação em Educação Agrícola,Educação,openAccess,masterThesis,ação afirmativa||residente||experiência||socialização,affirmative action||resident||experience||socialization,por,"Esta dissertação buscou descrever e analisar as influências da convivência nas Moradias Estudantis no processo de formação dos estudantes de uma escola agrícola. O percurso investigativo orientou-se pela percepção dos usuários partícipes desse tipo de interação para apurar os impactos e significados atribuídos à experiência de convivência em coletividade, de forma a verificar em que circunstâncias o cotidiano de convivência desse recorte social interfere na valoração humanística e profissional dos educandos. A partir de relatos e observações tecidos junto aos estudantes residentes no Instituto Federal de Educação, Ciência e Tecnologia - Campus São João Evangelista procurou-se identificar como esses sujeitos praticam o cotidiano escolar e quais os impactos dessas vivências no processo de formação nas dimensões intra e extraclasse, à luz da percepção dos próprios usuários. A pesquisa caracteriza-se como estudo de caso etnográfico, tomando o estudo do cotidiano como perspectiva metodológica. Foram empregadas abordagens quantitativa e qualitativa, respectivamente, valendo-se pela utilização dos seguintes instrumentos de coleta de dados: questionário virtual, observação participante, entrevista aos residentes. Com vistas a obtenção de informações sobre as ações institucionais voltadas à permanência e sucesso escolar de estudantes que procuram pelas Moradias, também foi desenvolvida uma entrevista ao Diretor- Geral da unidade do IFMG em estudo. Para análise e compreensão dos fenômenos investigados no cotidiano dos estudantes residentes foram utilizadas produções do Estudo do Cotidiano, Antropologia e Estudos Sociais, com autores como Certeau, Goffman, Heller e Pais. Os dados obtidos revelam que os discentes reconhecem a Moradia Estudantil como um espaço de desenvolvimento e preparação para a vida adulta. Os residentes consideraram a condição de interno como uma fase significativa, que expõe os adolescentes a experiências enriquecedoras, onde a partir do cotidiano de convivência coletiva os sujeitos desenvolvem o relacionamento interpessoal, maturidade, respeito, autonomia, autocontrole e solidariedade, o que lhes auxilia em decisões de carreira e planos para o futuro. Com a pesquisa conclui-se que além de um espaço físico para permanência de estudantes carentes, as Moradias Estudantis possuem uma função social na formação de seus usuários.",https://rima.ufrrj.br/jspui/handle/20.500.14407/12652,Não informado pela instituição,Não informado pela instituição,"BARBOSA, Douglas de Miranda. Vivência e convivência em Moradias Estudantis: uma análise do cotidiano escolar sobre a formação técnica no IFMG – Campus São João Evangelista. 2019. 96f. Dissertação (Mestrado em Educação Agrícola). Instituto de Agronomia, Universidade Federal Rural do Rio de Janeiro, Seropédica, RJ. 2019."
"Xavier, Adelmo de Souza",Não informado pela instituição,"Souza, Elias Ramos de||Não informado pela instituição",Não informado pela instituição,"Souza, Antônio Carlos dos Santos||Oliveira, Eduardo David de||César, América Lúcia Silva||Souza, Heron Ferreira||Messeder, Suely Aldir||Souza, Elias Ramos de||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,"O vaivém de Conhecimentos na travessia de corpos insurgentes no IFBA campus Seabra: caminhos que tem grandes ""espinho”... ...na frente tem um lido “jardinzinho”.",2019,Universidade Federal da Bahia (UFBA),UFBA,brasil,Não informado pela instituição,Doutorado Multidisciplinar e Multiinstitucional em Difusão do Conhecimento,Multidisciplinar||Educação,openAccess,doctoralThesis,Abordagem interdisciplinar do conhecimento||Saberes tradicionais||Ação Afirmativa-Projetos||Cultura e tecnologia||Estudantes negros||Trajetória de Vida||Ensino Profissional||Quilombolas||Gestão do conhecimento||Territórios educativos||Travessia Afirmativa||Educação profissional e tecnológica||Interdisciplinary approach to knowledge||Affirmative action – Projects. Culture an technology||Black students||Trajectory of Life||Vocational education (STEM)||Knowledge management||Approche interdisciplinaire de la connaissance||Action positive-Projects||Culture et technologie||Étudiants noirs||Trajectoire de vie||Enseignement professionnel||Gestion des connaissances,Não informado pela instituição,por,"O presente estudo, intitulado o Vaivém de conhecimentos na travessia de corpos insurgentes no IFBA campus Seabra: “...caminhos que tem grandes spinhos...na frente tem um lindo jardinho” é uma cartografia da relação entre os saberes e práticas étnico-raciais das comunidades tradicionais quilombolas, dos sujeitos e o Instituto Federal de educação ciência e tecnologia da Bahia, campus Seabra, no território da Chapada Diamantina. Para compreender como se dá a relação entre esses conhecimentos foram feitas buscas exploratórias no sítio do Instituto de onde emergiram ações e cinco projetos de ensino, pesquisa e extensão que aproximam o IFBA, os corpos insurgentes em travessia afirmativa e os saberes e práticas étnico-raciais dessas comunidades. Ao observar e participar dessas ações, entrevistar os sujeitos e conversar coletivamente em rodas de conversa com professores, estudantes e algumas comunidades, além de construir notas de campo a partir de uma vivência de dentro desses espaços, foi possível identificar a emergência de territórios educativos, espaços ativos que se constituem do vaivém de conhecimentos que se dá nessas travessias. O estudo evidenciou, a partir da forma de organização e dos saberes e fazeres nos projetos, atravessados pelas ações dos sujeitos em travessia afirmativa, as Semanas Pretas como o território educativo potencializador dos demais projetos que se organizam como “quilombos”, uma rede complexa e multirreferencial no território do IFBA. Ao cartografar essas ações foi possível identificar o que foi denominado na tese de incoerência epistemológica entre a maneira tradicional de gestar conhecimentos ao ser contrastado com o surgimento de uma rede de solidariedade entre os atores que promovem o vaivém desses conhecimentos nos territórios educativos. Os corpos insurgentes em suas travessias afirmativas, enlaçados pelos projetos estão criando zonas de beirada, bordas epistemológicas, ao enfrentar e reexistir contra os diversos sistemas de opressão que se articulam de maneira interseccional, gerando vaivém de conhecimentos que desestabilizam a forma hierárquica e colonial de produção e de difusão de conhecimento em ciência e tecnologia na interação com o território.",http://repositorio.ufba.br/ri/handle/ri/32037,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Ferraz, Maria do Carmo Gomes",Não informado pela instituição,"Ferreira, Rosilda Arruda||Não informado pela instituição",Não informado pela instituição,"Silva Filho, Penildon||Pimentel, Gabriela Sousa Rêgo||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,"Exclusão na escola no contexto das políticas afirmativas: reprovação e evasão no Instituto Federal de Educação, Ciência e Tecnologia da Bahia - campus de Barreiras sob o olhar dos atores envolvidos no processo",2015,Universidade Federal da Bahia (UFBA),UFBA,brasil,Não informado pela instituição,Programa de Pós-Graduação em Educação,Educação,openAccess,masterThesis,Reprovação||Evasão||Exclusão||Equidade||Fracasso Escolar||Eficácia||Política pública||Fail||Evasion||Exclusion||Equity||School Failure||Effectiveness,Não informado pela instituição,por,"Esta dissertação apresenta os resultados de uma pesquisa a respeito do fenômeno da evasão e da reprovação escolar no Instituto Federal de Educação, Ciência e Tecnologia da Bahia/IFBA, - Campus de Barreiras, no período de 2010 a 2014. O estudo justificou-se por acreditar que a eficácia precisa ser considerada como um dos indicadores de uma Educação de Qualidade e que possa promover a equidade. O problema de pesquisa buscou responder às seguintes indagações: como os professores, discentes, pais de estudantes e profissionais que atuam no setor pedagógico do Instituto percebem e explicam os fenômenos da reprovação e da evasão escolar nos cursos de Ensino Médio Integrado à Educação Profissional? Qual o perfil dos estudantes reprovados e evadidos com relação ao gênero no contexto das políticas de ações afirmativas? O estudo compreendeu uma pesquisa com caráter de método misto, na medida em que utilizou uma abordagem que possibilita uma aproximação aos fenômenos sob as diferentes perspectivas. Por fim, uma pesquisa empírica foi realizada por meio da adoção de entrevista semiestruturada. O lócus da pesquisa foi o IFBA - Campus de Barreiras e as residências de alguns estudantes. Os resultados demonstraram: que os índices de reprovação são elevados na primeira série; que o índice de reprovação dos estudantes cotistas é superior comparado aos demais estudantes; que o percentual dos estudantes que concluem o curso, em quatro anos, é baixo na perspectiva de uma escola promotora de eficácia da equidade. No que se refere à percepção dos atores, apontou para um conjunto de fatores ou dimensões envolvidas no processo de aprendizagem, com destaque para os aspectos subjetivos, institucionais e externos ligados às políticas públicas da educação no país, como responsáveis pelo fenômeno da exclusão dos estudantes na Instituição.",http://repositorio.ufba.br/ri/handle/ri/18168,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
